target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5","0.3766234581488513","29.799977416","150","23","127","84.66666666666667","30003.538394","30010.601935","33555.46164","33669.587124"
"10","0.9259339838871152","29.899550108","300","58","242","80.66666666666666","30003.275045","33805.679697","34764.332129","35116.95219"
"25","0.6245059176996122","29.960546367","750","39","711","94.8","30004.207135","30015.641551","34543.631721","35182.80697"
"50","0.9116184764409198","29.980464781","1500","59","1441","96.06666666666666","30003.539715","30009.929697","34370.281694","37104.978631"
"75","1.0411876266014863","29.987226076","2250","65","2185","97.11111111111111","30003.72689","30011.721475","33522.996201","34992.801533"
"100","0.8777959720116268","29.990338378","3000","57","2943","98.1","30003.545632","30007.873938","31026.623823","36837.831761"
"150","0.9433924805224926","29.992596169","4500","61","4439","98.64444444444445","30003.589222","30007.976342","30021.737551","36386.918497"
"200","0.8997318729530379","29.995294778","6000","56","5944","99.06666666666666","30003.17385","30008.601767","30023.331912","35602.597376"
"300","0.8701646757010333","29.995692304","8678","56","8622","99.35469002074211","30003.623906","30714.036459","32025.006009","36400.710064"
"400","0.7004557652225425","29.992320157","8508","49","8459","99.42407146215326","30006.220345","38248.043657","39792.747707","40002.921268"
