target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5","0.301493737206533","29.800733163","150","12","138","92","8003.118351","10001.19314","10004.107145","10006.568134"
"10","0.30611191280277755","29.900744857","300","12","288","96","8002.539775","10000.960156","10001.451651","10001.844476"
"25","0.2806076328323376","29.96068536","750","11","739","98.53333333333333","8002.331215","9629.306522","10001.258705","10002.324603"
"50","0.2754135820074867","29.978146964","1500","11","1489","99.26666666666667","8002.212535","8007.634756","10000.799582","10002.445846"
"75","0.22833717524521194","29.986657573","2250","9","2241","99.6","8002.228992","8006.529469","10000.884935","10002.165091"
"100","0.22669536748908203","29.989788984","3000","9","2991","99.7","8002.209176","8005.346909","10000.615832","10002.623874"
"150","0.30293094906104046","29.99268053","4500","12","4488","99.73333333333333","8002.19861","8005.769866","9152.80442","10001.657489"
"200","0.275026383666022","29.995125721","6000","11","5989","99.81666666666666","8002.203508","8005.575547","8089.030089","10002.281001"
"300","0.30044847206575376","29.996802164","9000","12","8988","99.86666666666667","8002.139172","8006.257503","8015.081696","10002.507451"
"400","0.22635477709529372","29.999108479","12000","9","11991","99.925","8002.109841","8008.186104","8019.216262","10006.250448"
