target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5","0.9246805236490041","29.800006006","150","36","114","76","7002.998027","10000.870131","10001.262633","10001.910898"
"10","0.8270433905783613","29.900145085","300","33","267","89","7002.415719","10000.42037","10001.028685","10001.639613"
"25","0.8451979473001395","29.961005766","750","33","717","95.6","7002.482658","9202.047245","10000.870164","10001.786422"
"50","1.0452985731841162","29.980551129","1500","41","1459","97.26666666666667","7002.307393","7009.400786","9872.371391","10003.251013"
"75","1.065255783875425","29.986976289","2250","42","2208","98.13333333333333","7002.285998","7006.543759","9715.643598","10001.258725"
"100","0.7313263972864401","29.990066492","3000","29","2971","99.03333333333333","7002.389368","7007.843307","9587.824876","10002.384194"
"150","0.929804263996863","29.994108145","4500","37","4463","99.17777777777778","7002.215805","7006.952194","8258.161521","10001.451829"
"200","0.7226506823767327","29.995114599","6000","28","5972","99.53333333333333","7002.148667","7007.55077","7025.22001","10001.578489"
"300","1.095633340738539","29.996751913","9000","43","8957","99.52222222222223","7001.995587","7007.608015","7022.678746","10001.663859"
"400","0.785799267006246","29.996203753","12000","31","11969","99.74166666666666","7001.992716","7006.28091","7013.709336","10001.832603"
